fatigue,vomiting,nausea,sweating,chest_pain,loss_of_appetite,yellowing_of_eyes,yellowish_skin,joint_pain,high_fever,irritability,phlegm,malaise,abdominal_pain,chills,headache,cough,skin_rash,breathlessness,abnormal_menstruation,prognosis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fungal infection
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fungal infection
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fungal infection
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fungal infection
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fungal infection
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fungal infection
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fungal infection
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fungal infection
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C
1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C
0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C
1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C
1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C
1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C
1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C
1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C
1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,Hepatitis D
1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Hepatitis D
1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,Hepatitis D
0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,Hepatitis D
1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Hepatitis D
1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,Hepatitis D
1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,Hepatitis D
1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,Hepatitis D
1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Hepatitis D
1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,Hepatitis D
1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,Hepatitis E
1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,Hepatitis E
1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,Hepatitis E
1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,Hepatitis E
1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,Hepatitis E
0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,Hepatitis E
1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,Hepatitis E
1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,Hepatitis E
1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,Hepatitis E
1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,Hepatitis E
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Alcoholic hepatitis
